Headers,Chunk
Экстренные ситуации. Потоп и проблемы с водой,"Если помещение затопило, сообщите об этом руководителю. Найдите вентиль, который перекрывает воду. Если его нет, свяжитесь с управляющей компанией."
Экстренные ситуации. Проблемы со здоровьем,"Если вы не можете выйти на работу из-за температуры, отравления или других проблем со здоровьем, уведомите руководителя как можно скорее."
Экстренные ситуации. Проблемы с интернетом,"Если не работает интернет, попробуйте зайти на другие сайты. Если ссылки не открываются:  1. Перезагрузите роутер: выключите и включите устройство с помощью кнопки. 2. Проверьте, подключен ли интернет-кабель к устройству, а роутер — к электросети. 3. Если не помогло, раздайте интернет через смартфон. 4. Предупредите руководителя, что прямой эфир видеонаблюдения прервался."
Экстренные ситуации. Проблемы с электричеством,"Если нет света, проверьте автоматы в электрическом щитке. Если электричество не восстановилось, свяжитесь с управляющей компанией и сообщите руководителю, как давно в пункте нет света. Продолжайте работу со смартфона."
Экстренные ситуации. Проблемы с видеонаблюдением,"Если пропала прямая трансляция, проблемы с камерами, напишите об этом в техническую поддержку. Отправьте письмо с темой «Видеонаблюдение» на адрес helpdesk.wb.pvz@yandex.ru. В обращении укажите:  - ваши данные (ФИО, ID менеджера, ID ПВЗ); - адрес ПВЗ; - марку роутера и оборудования для видеонаблюдения; - контакты для связи в Telegram; - краткое описание проблемы."
Экстренные ситуации. Проблемы с планшетом,"Если планшет не проговаривает ячейки, проверьте настройки звука на планшете и убедитесь, что используете браузер Mozilla Firefox."
Программы NPOS и OFFLINE,"Мы работаем в программах:NPOS (Network Point of Sale) — система сетевой розничной торговли, которая позволяет принимать платежи за товары и услуги через интернет.  — OFFLINE — вспомогательная программа для выдачи товара, которая может работать без доступа к интернету. OFFLINE нужно использовать в случае, когда NPOS не работает. Например, если в ПВЗ отключили свет.  — NPOS и OFFLINE — программы-близнецы с одинаковым интерфейсом."
Программы NPOS и OFFLINE. Как войти в систему,"Чтобы войти в систему: 1. Откройте браузер и введите адрес:  - npos.wildberries.ru для NPOS; - localhost для OFFLINE.  2. В поле введите номер телефона, который указывали при устройстве на работу, и нажмите на кнопку «Запросить код». В профиль на WB придёт пуш-уведомление с 6-значным кодом — его нужно ввести в поле «Код». 3. В появившемся окне введите ШК офиса (ПВЗ). Если не помните, где его найти, перейдите по этой ссылке https://wbeducation.wildberries.ru/instructions/terminologiya — информация есть в уроке «Погружение в работу ПВЗ»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"При работе с NPOS,  найти заказ в  разделе ""Поиск клиентов"" можно двумя способами:  - отсканировать QR-код из приложения покупателя; - ввести последние 4 цифры номера покупателя: в этом случае появится окно, где нужно указать 5-значный код покупателя, код обновляется каждые 24 часа  В этом разделе вы можете открыть как одного, так и несколько покупателей сразу. Для этого ещё раз перейдите во вкладку «Поиск клиентов» и найдите заказ через QR-код или по 4 цифрам номера и коду покупателя.  После того, как откроете покупателя в системе, программа покажет номер ячейки, где лежит заказ, и предложит проверить вещь перед выдачей. "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"Нужно отсканировать товар, чтобы убедиться, что он действительно принадлежит покупателю.  Если товар не принадлежит покупателю, программа выдаст ошибку. Отложите этот товар в сторону, чтобы позже убрать его на правильную ячейку через вкладку «Вещи в офисе».  Затем вы попадёте в карточку покупателя, где можно увидеть наименование товара, количество, цену, размер, штрихкод и баркод.  После того как покупатель проверит товар, убедитесь, что сумма в правом верхнем углу и количество в левом верхнем углу верны. Затем уточните у покупателя, можно ли закрыть заказ, и проведите платеж — для этого нажмите на кнопку «Выдать товар». Деньги автоматически спишутся с банковской карты покупателя или из WB Кошелька.  "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"Если оплата не проходит, потому что карта не привязана или в кошельке не хватает денег, вежливо попросите покупателя пополнить счёт или добавить новую карту.  Если покупатель решит отказаться от заказа, отсканируйте товар. В карточке покупателя вы увидите колонку «Возврат» слева от фотографии товара. "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"Если товар пропал после того, как вы приняли его в пункте выдачи, нужно поставить отметку в колонке «Потерял» слева.  "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"Покупатель может попросить вас отложить товары. Но если в заказе несколько позиций, вернуть на полку можно только все товары вместе — разделять заказ нельзя. Чтобы отложить заказ, нажмите на кнопку «Снять с примерки» в нижнем правом углу и следуйте инструкциям, а затем верните товары на прежнее место. Важно напомнить покупателю, что срок хранения — 12 календарных дней с момента доставки в пункт. "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"Предложите покупателю пакет. Нажмите на нужный размер в карточке, чтобы добавить пакет в заказ  Если покупатель попросил пакет после того, как вы закрыли заказ, зайдите во вкладку «Поиск клиента», нажмите «Продать пакет», просканируйте QR-код покупателя и выберите нужный размер.  "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"После оплаты система попросит вас оценить покупателя: можно поставить от 1 до 5 «звёзд». Если оценка меньше 5, нужно указать причину. Покупатель не увидит вашу оценку — эта информация отобразится только во внутренних системах Wildberries.  "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов»,"Если в заказе есть товар с браком, в списке причин для возврата выберите «Брак», как на скриншоте ниже, и расскажите о дефекте в комментарии.  Затем перейти во вкладку дефекты, просканировать бракованный товар и нажать кнопку «Отправить в брак»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Поиск клиентов». Важно,"Перед выдачей товара объясните покупателю правила осмотра: он должен вскрыть упаковку в пределах клиентской зоны и убедиться, что получил тот товар, который заказывал, без брака и других дефектов. - Некоторые товары нельзя вернуть после получения в пункте. Полный список можно найти в разделе «Работа с товаром». В интерфейсе такие вещи отмечены красным перечеркнутым кружком (🚫), как на скриншотах ниже."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Клиенты на примерке»,"В разделе «Клиенты на примерке» можно посмотреть покупателей, которые примеряют товары в пункте."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Приёмка»,"С помощью интерфейса в разделе ""Приемка"" вы cможете принимать товары.  Приёмка включает два этапа: - Отсканируйте транспортировочную наклейку на коробке — голосовой помощник сообщит, что коробка принята. За один раз можно принять не более 10 штук. - Обязательно сверяйте адрес на приходной коробке с фактическим адресом пункта — они должны совпадать. - Коробки и товары нужно принимать только под камерой видеонаблюдения. Так у вас будет доказательство в случае, если возникнет спорная ситуация. Например, чтобы оспорить недостачу. "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Приёмка»,"Если при приемке коробка не сканируется, введите TRBX и номер коробки в строке и нажмите Enter. Пример: TRBX261484964 "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Приёмка»,"Если вы обнаружили приходную коробку, которую по ошибке доставили в ваш ПВЗ, не принимайте её на баланс. Отложите коробку, запишите номер и верный адрес назначения и сообщите руководителю, что вам доставили чужую коробку. "
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Приёмка»,"После того, как приняли коробки, переходите во вкладку «Раскладка вещей»:  - Вскройте принятую коробку. - Отсканируйте товар по штрихкоду — голосовой помощник укажет ячейку, в которой нужно будет разместить вещь. - Если при приемке штрихкод не сканируется, введите код вручную и нажмите Enter.  После того, как примете и разложите товары, вернитесь во вкладку «Приём коробок» и у каждой коробки в правом углу нажмите на кнопку «Разбор окончен»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Возврат товара»,"В разделе ""Возврат товара"" NPOS/OFFLINE можно провести возврат, который покупатель решил сделать после того, как забрал заказ из ПВЗ. Чтобы принять возврат в системе: 1. Отсканируйте штрихкод на упаковке. 2. Если штрихкода нет, введите номер покупателя в поисковой строке через «7». 3. Откройте профиль покупателя — в разделе отобразятся его заказы за последние 14 дней. Проставьте галочку в левом столбце в строке товара, который нужно вернуть. 4. Отсканируйте баркод товара. 5. Сверьте марку, модель и размер с описанием в программе и карточкой товара. 6. Проверьте навесную бирку и штрихкод. Если вещь вернут в упаковке с другим ШК, программа посчитает это недостачей. 7. Если все соответствует описанию, нажмите на кнопку «Выполнить возврат» в правом нижнем правом углу. Деньги вернутся в течение 14 рабочих дней — точные сроки зависят от банка.  "
"Как работать с возвратами. Что делать, если хотят вернуть товар. Сроки",При возврате деньги вернутся покупателю на счет в течение 14 рабочих дней — точные сроки зависят от банка.  
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Возврат товара»,"Если при возврате товара клиентом штрихкода нет, введите номер покупателя в поисковой строке через 7, перейдите в профиль клиента, найдите нужный товар в заказах, поставьте галочку в строке товара, отсканируйте баркод.Продолжайте возврат по обычному сценарию"
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Возврат товара»,"Если товар возвращают с заявкой по браку, в окне покупок за последние 14 дней в правом верхнем углу появится раздел «Заявка на возврат по браку»: перейдите туда и проверьте статус.  Если заявку на возврат одобрили, нажмите на кнопку «Выполнить возврат». Если заявку отклонили, попросите покупателя создать новую."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Вкладка «Дефекты»,Во вкладке "Дефекты" можно просканировать бракованный товар.
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Вкладка «Коробки в офисе»,"В разделе ""Коробки в офисе"" можно отправить на склад возвраты, отказные товары и вещи, у которых истёк срок хранения.  Чтобы оформить возвратную коробку:  1. Отсканируйте возвратную наклейку. 2. Если штрихкод не сканируется, введите «TRBX» + номер коробки в строке и нажмите Enter. Пример кода: TRBX261484964 3. Когда коробка открыта и готова для упаковки, заполните её товарами. Когда места не останется, нажмите на кнопку «Закрыть коробку». 4. Заклейте коробку скотчем и уберите её в клиентскую зону под камеры до приезда водителя."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Вещи в офисе»,"В разделе «Вещи в офисе» есть четыре вкладки: «Поиск вещей», «Возврат на склад», «Места хранения» и «Утиль»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Вещи в офисе». Вкладка «Поиск вещей»,"Если вы не можете определить ячейку, в которой лежит товар, введите штрихкод в строку поиска. Программа покажет номер ячейки и имя покупателя."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Вещи в офисе». Вкладка «Возврат на склад»,"Во вкладке «Возврат на склад» собраны все товары, которые ждут возврата на склад за текущий день. Эти товары нужно поместить в коробку и подготовить к отправке. Инструкция есть выше, в разделе «Коробки в офисе»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Вещи в офисе». Вкладка «Места хранения»,Во вкладке «Места хранения» можно распечатать номера ячеек и полок — нужно указать количество и нажать на галочку справа.
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Вещи в офисе». Вкладка «Утиль»,"Во вкладке «Утиль» отображаются товары, которые нужно утилизировать самостоятельно. В том числе вещи с дефектами, у которых истек срок годности. Чтобы утилизировать товары, отметьте нужные позиции в системе и нажмите на кнопку «Утилизировать»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Движение вещей»,"В разделе «Движение вещей» можно посмотреть движение всех товаров за день в ПВЗ. Введите ШК товара в строку поиска, чтобы проверить:  - когда и во сколько приняли товар; - в какой коробке товар поступил в ПВЗ; - выкупили товар или отказались от него; - в какую коробку с возвратом добавили товар; - перемещали ли товар с ячейки на ячейку или полку."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Склад»,В разделе "Склад" можно просмотреть информацию о ячейках волнореза: узнать количество предметов в каждой ячейке и данные покупателей.
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Уведомления»,В раздел «Уведомления» приходят уведомления об изменениях в программе и компании.
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Баланс»,"Раздел «Баланс» — ваша личная бухгалтерия. Тут можно посмотреть, сколько вы заработали и за что, а также узнать сумму недостач.  В разделе «Баланс» есть четыре вкладки: «Заработок», «Недостачи», «Личный кабинет» и «Вознаграждения»."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Баланс». Вкладка «Заработок»,"Во вкладке «Заработок» вы можете следить за состоянием личного счёта: посмотреть общую сумму заработка, узнать, за какие операции начисляли вознаграждение, и проверить недостачи.  Рядом с общей суммой на вкладке «Заработок» есть кнопка «Посмотреть по дням» — нажмите на неё, чтобы узнать более подробную информацию о начислениях и продуктивности за интересующую дату."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Баланс». Вкладка «Недостачи»,"Во вкладке «Недостачи» можно посмотреть сумму недостач и узнать, за что начислен долг. Например, за подменный товар, неотправленный возврат, утерянную при переупаковке вещь.  В графе «Баланс» можно увидеть, сколько сейчас у вас на счёте, а в графе «Сумма недостач» — все вычеты за последние 3 месяца."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Баланс». Вкладка «Недостачи». Важно,"Любую недостачу можно оспорить. Если вы не виноваты, сумма долга уменьшится."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Баланс». Вкладка «Личный кабинет»,Во вкладке «Личный кабинет» можно вывести зарплату за отработанную неделю — для этого укажите сумму перевода и нажмите на кнопку «Перевести».
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Баланс». Вкладка «Вознаграждения»,Во вкладке «Вознаграждения» хранится история операций. Можно посмотреть данные о бонусах за последние 3 месяца или выбрать конкретные даты и тип операции.
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Статистика»,"В разделе «Статистика» отображаются данные за смену: сумма продаж и возвратов за день, количество принятого товара и рейтинг ПВЗ."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «История ШК»,В разделе «История ШК» можно проверить информацию о товаре по штрихкоду. Для этого нужно отсканировать ШК или ввести номер вручную.  В результатах поиска отобразятся две вкладки: «Информация» с характеристиками и «История» с данными о передвижениях товара.
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Приём поставок»,"Если курьер будет выгружать товары по программе WB Go, нужно открыть эту вкладку и показать водителю QR-код."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Обращение»,"Через раздел ""Обращения"" можно связаться с кол-центром: создать обращение, выбрать тему и описать проблему."
Программы NPOS и OFFLINE. Разбираемся в интерфейсе. Раздел «Взаимодействие с офисом»,В разделе «Взаимодействие с офисом» можно найти имена и контакты ваших руководителей.
Культура и общение. Корпоративная культура,"Это набор общих ценностей, норм и традиций, которые формируют атмосферу внутри компании. Корпоративная культура определяет, как мы общаемся друг с другом и как создаём приятный опыт для всех: от покупателей до коллег.  Коммуникация — ключевой элемент корпоративной культуры. Взаимопонимание и открытость нужны, чтобы поддерживать позитивную атмосферу в компании. Чёткость и ясность в общении помогают избежать конфликтов и недопонимания.  Основные принципы, которых придерживаются в Wildberries: уважение, доверие, открытость к идеям и мнениям каждого."
Культура и общение. Внешний вид менеджера,"Это важная часть корпоративной культуры Wildberries. Внешний вид менеджера формирует первое впечатление у покупателей, поэтому нужно соблюдать дресс-код — правила по выбору одежды, соответствующей стандартам компании. Выбирайте комфортные и неброские вещи, в которых вам будет удобно работать.  Что нельзя носить:- Головные уборы - Джинсы с цепями, нашивками, дырками и прорезями - Шорты - Обувь с открытой пяткой и пальцами. Что можно носить: -Однотонные джинсы без ярких деталей - Тёмные брюки - Чистая и комфортная обувь без каблука"
Культура и общение. Внешний вид менеджера. Личная гигиена,На рабочем месте нужно соблюдать личную гигиену и пользоваться дезодорантом. Для женщин приветствуется неяркий макияж и маникюр.
Культура и общение. Внешний вид менеджера. Бейдж,"Носить бейдж на работе в ПВЗ — значит не просто соблюдать требование компании, но и проявлять заботу о покупателях.  Почему бейдж важен:  - Покупателям будет проще определить, кто менеджер ПВЗ, и обратиться к вам по имени — это персонализирует обслуживание и делает клиентский опыт приятнее. - Бейдж повышает безопасность в пункте выдачи: вам будет легче следить за тем, чтобы посторонние не проникли в рабочую зону.  "
Как работать с возвратами,"Возврат — это важная часть работы, с которой менеджеры ПВЗ сталкиваются каждый день. От того, насколько быстрой и простой будет процедура, зависит лояльность покупателя.  В этом разделе мы расскажем, из каких этапов состоит возврат, как провести его в системе, как помочь покупателю составить заявку в приложении и как выдавать невозвратный и неотказной товар."
"Как работать с возвратами. Что делать, если хотят вернуть товар","Возвраты через пункты выдачи регулируются законодательством о защите прав потребителей, правилами и политикой Wildberries. От большинства товаров можно отказаться и до, и после получения. Но есть исключения — рассказываем о них подробнее в разделе «Невозвратные и неотказные товары»."
