Question,Chunk,Hard negative
"Что делать, если покупатель называет нас мошенниками?","Пришёл товар с дефектом, не получилось оформить возврат, деньги списали не за тот товар — всё это может привести к конфликту в пункте выдачи. Задача менеджера — разрядить эмоциональное напряжение и создать доверительную атмосферу, чтобы найти решение вместе с покупателем.  От того, как вы с этим справитесь, зависит ваш рейтинг. Если всё пройдёт хорошо, покупатель не поставит низкую оценку. Читайте больше о рейтинге в инструкции Как поддерживать высокий рейтинг","Сохраняйте спокойствие в случае непредвиденной ситуации.Постарайтесь не нервничать и сконцентрироваться. Свяжитесь с руководителем. Как можно скорее сообщите о проблеме. Объясните, что случилось. Чётко и понятно передайте суть проблемы."
"Что нужно сделать, чтобы узнать, где сейчас находится определенный товар?","Когда не можете найти товар: 1. Скажите покупателю, что вам нужно больше времени, чтобы найти заказ на складе. Не переключайтесь на другого клиента, даже если в очереди есть другие люди 2. Проверьте ближайшие и созвучные ячейки: товар могли по ошибке убрать на соседнее место или положить на ячейку 122 или 132 вместо правильной ячейки 22 3. Откройте раздел «Движение вещей», введите штрихкод и проверьте дату и время приёмки товара 4. Откройте раздел «Видеонаблюдение», перемотайте запись на нужное время и проследите, куда положили товар 5. Если не получилось найти товар, скажите об этом покупателю и поставьте отметку в программе, в столбце «Потерял». У вас будет 24 часа на то, чтобы найти товар 6. Предложите покупателю зайти позже или оставить номер телефона на случай, если товар найдётся. Не настаивайте, если покупатель не хочет делиться контактами 7. Если не было предоплаты и от товара можно отказаться, покупателю не обязательно ждать 24 часа. В этом случае клиент может сразу же отказаться от товара  Когда поставите отметку «Потерял», за товар начислится долг — он упадёт на баланс менеджера, который принимал заказ после сортировочного центра",
"А что с духами, можно их вернуть?","К невозвратным товарам относятся: - парфюмерно-косметические товары, - постельное бельё, - предметы личной гигиены, - товары 18+, - нижнее и чулочно-носочное бельё, - ювелирные изделия, - бытовая химия и агрохимикаты, - печатные издания: книги, брошюры, альбомы, ноты, календари, буклеты.","При работе с NPOS,  найти заказ в  разделе ""Поиск клиентов"" можно двумя способами:  - отсканировать QR-код из приложения покупателя; - ввести последние 4 цифры номера покупателя: в этом случае появится окно, где нужно указать 5-значный код покупателя, код обновляется каждые 24 часа  В этом разделе вы можете открыть как одного, так и несколько покупателей сразу. Для этого ещё раз перейдите во вкладку «Поиск клиентов» и найдите заказ через QR-код или по 4 цифрам номера и коду покупателя.  После того, как откроете покупателя в системе, программа покажет номер ячейки, где лежит заказ, и предложит проверить вещь перед выдачей. "
"Что нужно сделать с товаром, который возвращают?","Чтобы подготовить возврат к отправке: - Надёжно упакуйте товар, чтобы вещь не повредилась и не потерялась во время транспортировки. - Если упаковка повреждённая или недостаточно ненадёжная, укрепите её скотчем или замените на новую. - Если товар без упаковки, сложите вещь в пакет. Не забудьте про штрихкод: его нужно найти в системе, написать номер на бумаге от руки и приклеить на пакет прозрачным скотчем. Так менеджеры склада смогут идентифицировать вещь. - Перейдите в раздел «Коробки в офисе». - Отсканируйте или введите вручную ШК товара и добавьте его в нужную коробку. - Если нет открытых коробок, переведите раскладку на английский язык и отсканируйте возвратную наклейку или введите вручную буквы TRBX и номер коробки в таком формате: TRBX261484964. - Поместите вещь в возвратную коробку.","Как собрать возвратную коробку:  1. Перейдите в раздел «Вещи в офисе» и найдите все товары, которые нужно вернуть. 2. Перейдите в раздел «Коробки в офисе». 3. Если в разделе нет открытой коробки, переведите раскладку клавиатуры на английский язык и отсканируйте возвратную наклейку. 4. В коробку с нужным номером отсканируйте штрихкоды товаров или введите номера вручную. 5. Упакуйте товары в коробку. 6. Закройте возвратную коробку. Для этого перейдите в раздел «Коробки в офисе», откройте возвратную коробку с нужным номером, нажмите «Закрыть коробку». 7. Заклейте коробку скотчем. - После того, как заполните и запечатаете возвратную коробку, переставьте её на склад. - В конце рабочего дня поставьте возвратные коробки в клиентскую зону (КЗ). - Все коробки должны стоять одной стороной — той, где штрихкоды. Этикетки наклеивайте только на меньшую боковую грань.  Отправьте возврат на склад в течение 3 дней  Лучше сделать это в тот же день, в который вы закрыли возвратную коробку. Если не успеете отправить возврат вовремя, товар исчезнет из вкладки «Возврат товаров», и у вас появится долг в размере стоимости этой вещи."
Какие роутеры у нас используются?,"Если в пункте выдачи есть роутер, подключите и настроите его самостоятельно или с помощью провайдера.",
"Что делать, если покупатель обнаружил бракованный товар?","Если после покупки товара был выявлен производственный дефект товара или его несоответствие заказанному, предупредите покупателя. Объясните, что возврат товара возможен только после одобрения заявки на проверку качества - Помогите с заявкой. Расскажите, как создать заявку в личном кабинете и прикрепить фотографии дефектов - Контролируйте эмоции. Если покупатель настроен агрессивно, сохраняйте спокойствие и вежливо объясните, что заявка поможет решить проблему - Разъясните процедуру. Расскажите о последовательности действий и подчеркните, что заявка — единственный способ решить проблему - Привлеките горячую линию. Если покупатель не верит вашим словам, посоветуйте обратиться на горячую линию: 8 (495) 755-55-05","Обратите внимание, если в заказе есть невозвратный или неотказной товар, обязательно предупредите об этом покупателя. Попросите проверить товар на ресепшене и помогите упаковать вещь обратно. Перед тем, как закрыть чек, уточните у покупателя, всё ли в порядке с товаром и готов ли он выкупить заказ. - Если покупатель заметил дефект, брак или истекший срок годности, помогите ему создать заявку на возврат в профиле."
Когда можно принимать коробки на баланс?,"Когда убедитесь, что все коробки доставили, примите их на баланс офиса в рабочей программе.  Принимайте коробки только под камерами видеонаблюдения  1. Из меню слева перейдите в раздел «Приёмка» → Приём коробок 2. Смените раскладку клавиатуры на английский язык. Если этого не сделать, система покажет ошибку «Невалидный ШК» 3. Нажмите на пустую строку и отсканируйте QR-код на приходной коробке. Если всё в порядке, она отобразится ниже с фиолетовой галочкой 4. Если QR-код не читается, введите номер коробки вручную в формате TRBX0000000 — вместо нулей укажите номер коробки","Приёмка товаров делится на несколько этапов: курьер привозит заказы в приходных коробках, менеджер сверяет адрес и принимает коробки на баланс, а потом распределяет товары по ячейкам. Рассказываем подробнее, что делать на каждом из этапов."
Когда нужно уточнять у покупателя про оплату?,"Обязательно спрашивайте о способе оплаты перед тем, как выдать заказ. Если покупатель платит через WB Кошелёк, посоветуйте проверить сумму. Когда в кошельке не хватает денег, стоимость заказа списывается с привязанной к профилю карты.","Если товары в разной валюте и оплата не проходит: 1. Откройте покупателя в NPOS. 2. Снимите галочку с одной из валют. Например, оставьте только рубли. 3. Проведите оплату в рублях. 4. Закройте и снова откройте покупателя в NPOS. 5. Теперь снимите галочку с другой валюты. Например, оставьте только доллары. 6. Проведите оплату в долларах.В кошельке должно быть достаточно денег. Если сумма на балансе меньше, стоимость заказа спишется с карты, которая привязана к профилю"
"Что будет, если я отправлю не тот товар на склад?","Если вы не заметите подмену и отправите на склад не тот товар, из зарплаты вычтут сумму в размере стоимости вещи.","Как избежать вычета за подмену товара: -Проверяйте товар под камерами видеонаблюдения перед тем, как выдать его покупателю. - Обязательно сверяйте вещь с карточкой товара, если покупатель отказывается от заказа после примерки. - Если заметили подмену, когда покупатель принёс возврат из дома, попросите его создать заявку на возврат через профиль на Wildberries. Как это сделать — читайте в инструкции «Как создать заявку на возврат в профиле покупателя». - Если заметили подмену перед тем, как выдать товар покупателю, отметьте товар как бракованный, сделайте пометку о неверном вложении и скриншот экрана, чтобы потом оспорить удержание."
Какая площадь занята складами у Wildberries?,"Wildberries — крупнейший онлайн-ретейлер в России и СНГ. Название маркетплейса переводится как «дикие ягоды». Основатели компании, Татьяна и Владислав Бакальчук, начали бизнес в 2004 году с небольшого магазина детской одежды. Они сделали ставку на сервис и разнообразие, предложили покупателям удобные условия и высокий уровень обслуживания.  Стратегия оправдала себя: сегодня на Wildberries представлено около 600 000 брендов от более чем 1 млн продавцов. На складах компании хранится в среднем около 470 млн товаров, а совокупная площадь складских помещений составляет более 2,8 млн м².  Первый пункт выдачи заказов (ПВЗ) открылся в 2010 году в Москве, а после пункты стали появляться и в других городах: к 2012 году сеть насчитывала уже 134 точки. Компания продолжает расти и развиваться. Теперь ПВЗ Wildberries есть в Беларуси, Казахстане, Кыргызстане, Армении, Израиле, Молдове, Турции, Узбекистане и Азербайджане. Сейчас у компании больше 30 000 пунктов выдачи в России и за её пределами.  Ещё немного цифр:  - Каждый день на Wildberries оформляют 7 млн заказов. - Ежедневно больше 10 млн товаров отправляются в пункты выдачи. - 80% заказов доставляют уже на следующий день. - Больше 90% пользователей — постоянные покупатели Wildberries.","Чтобы избежать вычета из-за брака, внимательно проверяйте товар перед выдачей и после примерки. - Если заметили дефект, сразу ставьте отметку в программе NPOS — так вы не попадёте под коллективную ответственность за брак. - Когда покупатель отказывается от товара из-за брака, обязательно рассмотрите вещь и убедитесь, что дефект действительно есть. Если поставите отметку о браке на товар, у которого нет дефекта, с вас удержат стоимость обратной доставки на склад."
Как минимизировать риск удержаний за порчу товара?,"Как избежать вычета за порчу товара: Не ставьте отметки маркером или ручкой на упаковке или самом товаре. Если нужно обозначить номер ячейки, пользуйтесь бумажными стикерами для заметок — такими, которые легко и без следов отклеиваются с поверхности. - Напоминайте покупателю, что нужно проверять товар под камерами до примерки и оплаты. - Не принимайте обычный возврат, если на товаре есть загрязнения. Такие вещи можно вернуть только с одобренной заявкой.","Как избежать вычета за утерю товара: Работайте с товарами только под камерами видеонаблюдения. - Когда раскладываете новые заказы, следуйте указаниям голосового помощника — он подскажет, в какой ячейке разместить товар. - Аккуратно упаковывайте возвраты. Не отправляйте вещи в повреждённой упаковке, чтобы товар не потерялся в пути. Если штрихкод не читается, напишите его на бумаге и приклейте на упаковку, чтобы на складе могли идентифицировать товар"
